Language, 01_Subject Verb, 02_Verb Subject, 03_Verb Object, 04_Object Verb, 05_Subject Verb Object, 06_Subject Object Verb, 07_Verb Subject Object, 08_Verb Object Subject, 09_Object Subject Verb, 10_Object Verb Subject, 11_Adposition Noun_Phrase, 12_Noun_Phrase Adposition, 13_Adjective Noun, 14_Noun Adjective, 15_Numeral Noun, 16_Noun Numeral, 17_Demonstrative Noun, 18_Noun Demonstrative, 19_Possessor Noun, 20_Noun Possessor, 21_Pronominal Possessor Noun, 22_Noun Pronominal Possessor, A 01_Attributive Adjective Agreement, A 02_Predicate Adjective Agreement, A 03_Degree Adjective, A 04_Adjective Degree, AuxSel 01_Auxiliary Selection, C 01_Complementizer Clause, C 02_Clause Complementizer, C 03_Adverbial_Subordinator Clause, C 04_Clause Adverbial Subordinator, Extra Examples, N2 01_Numeral Noun (indefinite), N2 02_Noun Numeral (indefinite), N2 03_Numeral Noun (definite), N2 04_Noun Numeral (definite), N2 05_Definite NP (Num N; N Num) has a definite article, N2 06_Definite NP (Num N; N Num) has a demonstrative, N2 07_Definite NP (Num N; N Num) lacks a definite article or demonstrative, N2 08_Definite NP (Num N; N Num) contains a Plural marker, but Indefinite NP does not, N2 09_Definite NP (Num N; N Num) contains any other marking, N2 10_The Numeral has a different form in Definite and Indefinite (Num N; N Num) contexts, N2 11_The Noun has a different form in Definite and Indefinite (Num N; N Num) contexts, Neg 01_Standard Negation is Particle that Precedes the Verb, Neg 02_Standard Negation is Particle that Follows the verb, Neg 03_Standard Negation is Prefix, Neg 04_Standard Negation is Suffix, Neg 05_Standard Negation is Negative Auxiliary verb, Neg 06_Standard Negation is Higher verb, Neg 07_Standard Negation is Tone, Neg 08_Standard Negation is Tone plus Other Modification, Neg 09_Standard Negation is Reduplication, Neg 10_Standard Negation is Infix, Neg 11_Distinct Negation of Class/Property, Neg 12_Distinct Negation of identity, Neg 13_Distinct Negation of Existence, Neg 14_Distinct Negation of Location, Order N3 01_ Demonstrative Adjective Noun, Order N3 02_Demonstrative Noun Adjective, Order N3 03_ Noun Adjective Demonstrative, Order N3 04_Noun Demonstrative Adjective, Order N3 05_Adjective Demonstrative Noun, Order N3 06_Adjective Noun Demonstrative, Order N3 07_Demonstrative Numeral Noun, Order N3 08_Demonstrative Noun Numeral, Order N3 09_ Noun Numeral Demonstrative, Order N3 10_Noun Demonstrative Numeral, Order N3 11_Numeral Demonstrative Noun, Order N3 12_Numeral Noun Demonstrative, Q01_Initial polar Q-marker, Q02_Final polar Q-marker, Q03_Clause internal polar Q-marker, Q04_Polar question by intonation, Q05_Polar question by V-fronting, Q06_Polar question by Auxiliary-fronting, Q07_Q-marker follows narrow focus, Q08_Affirmative answer by particle, Q09_Affirmative answer by verb, Q10_Affirmative answer by auxiliary, Q11_Affirmative answer by auxiliary and verb, Q12_Affirmative answer by particle and verb, Q13_Affirmative answer by predicative 'be', Q14_Verb answer to indefinite subject question, Q15_Particle-and-verb answer to indefinite subject question, Q16NEGA_Negative answer by special negative particle, Q17NEGA_Negative answer by bare sentential negation, Q18NEGA_Negative answer by sentential negation plus bare verb, Q19ANegQ_Truth-based confirmation, Q20ANegQ_Polarity-based confirmation, Q21ANegQ_Polarity-reversing particle, Q22ANegQ_Polarity-reversing answer by affirmative and special particle, V2 01_Declarative Verb-Second, V2 02_Interrogative Verb-Second
=Hoan, yes, no, yes, no, yes, no, no, no, no, no, yes, yes, no, yes, no, yes, no, yes, yes, no, yes, no, yes, yes, no, yes, no, yes, no, yes, no, yes, no, yes, no, yes, no, yes, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, yes, yes, no, no, yes, no, no, no, no, no, yes, no, no, no, no, yes, no, no, no, no, ns, yes, no, no, no, no, no, ns, ns, ns, ns, ns, ns, ns, ns, ns, no, no
Abaza, yes, ns, ns, yes, ns, yes, ns, ns, ns, ns, no, yes, ns, yes, ns, ns, ns, ns, yes, no, yes, no, no, no, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, yes, yes, no, no, no, no, no, no, no, no, no, no, ns, yes, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns
Acehnese, yes, no, yes, no, yes, no, no, no, no, no, yes, no, no, yes, yes, no, no, yes, no, yes, no, yes, no, no, no, yes, na, yes, no, yes, no, ns, yes, no, yes, no, no, yes, ns, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, yes, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, no, no
Adyghe, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, no, ns, ns, ns, ns, ns, ns, no, ns, no, ns, no, no, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, no, no, ns, ns, no, no, no, no, no, no, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns
Afrikaans, yes, no, yes, yes, yes, yes, no, no, no, no, yes, yes, yes, no, yes, no, yes, no, yes, yes, yes, no, yes, no, yes, yes, no, yes, no, yes, no, na, yes, no, yes, no, yes, yes, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, yes, yes, no, yes, no, no, no, no, no, no, no, yes, no, no, yes, yes, no, no, yes, yes
Agni indénié, yes, ns, yes, ns, yes, no, no, no, no, ns, no, yes, no, yes, no, yes, no, yes, yes, no, yes, ns, no, yes, no, no, ns, yes, ns, yes, ns, ns, no, yes, no, yes, yes, yes, no, ns, no, no, no, yes, yes, yes, ns, ns, ns, yes, ns, no, no, ns, ns, yes, ns, no, no, yes, no, no, no, ns, ns, yes, yes, ns, ns, yes, yes, ns, ns, ns, ns, no, yes, ns, ns, ns, ns, ns, ns, ns, yes, ns, ns, ns, ns, ns, ns, ns, ns
Albanian, yes, yes, yes, no, yes, no, yes, yes, no, no, yes, yes, no, yes, yes, no, yes, no, no, yes, no, yes, yes, yes, yes, yes, yes, yes, no, yes, no, no, yes, no, yes, no, no, yes, yes, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, no, no, no, no, yes, no, no, no, yes, no, yes, no, no, yes, yes, ns, ns, yes, yes, no, yes, yes, no, yes, yes, yes, no, yes, na, yes, yes, yes, no, no
American Sign Language, yes, yes, yes, yes, yes, yes, yes, yes, no, no, yes, no, yes, yes, yes, yes, yes, yes, yes, yes, yes, no, no, no, yes, no, no, na, na, yes, no, ns, yes, ns, yes, ns, na, no, yes, no, no, no, no, no, no, no, na, no, no, na, na, no, no, no, no, yes, no, yes, ns, ns, ns, no, ns, ns, ns, ns, ns, ns, ns, ns, yes, no, yes, no, no, ns, yes, yes, yes, yes, yes, na, ns, ns, ns, ns, ns, ns, ns, ns, ns, no, no
Amharic, yes, no, yes, yes, no, yes, no, no, yes, no, yes, no, yes, no, yes, no, yes, no, yes, no, yes, yes, yes, yes, yes, no, no, yes, no, yes, yes, ns, yes, no, yes, no, yes, yes, no, yes, no, no, no, no, no, yes, yes, no, no, no, no, no, no, yes, yes, yes, yes, yes, no, no, no, no, no, yes, no, no, no, no, no, no, yes, no, yes, no, no, no, yes, yes, yes, yes, yes, no, yes, no, yes, no, yes, yes, no, no, no, no, no
Ancient Greek, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, no, no, yes, no, yes, no, na, yes, yes, yes, no, yes, yes, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, yes, yes, yes, yes, no, no, no, yes, no, yes, no, no, yes, no, no, no, yes, yes, no, no, yes, no, no, no, no, yes, no, ns, ns, no, ns, no, no
Arabic Gulf, yes, yes, yes, no, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, yes, yes, no, yes, no, yes, yes, yes, yes, yes, no, yes, na, yes, no, no, yes, no, no, yes, yes, yes, no, no, no, yes, no, yes, no, no, no, no, no, no, na, no, no, yes, yes, yes, yes, no, yes, yes, yes, no, no, yes, yes, yes, no, no, yes, no, no, no, yes, no, no, no, yes, yes, no, no, yes, no, no, yes, yes, no, no, no, yes, no, no, no, no
