Frequent 0-itemsets:
itemset (occurrence)
{} (8124)
Frequent 1-itemsets:
itemset (occurrence)
116 (3148)
6 (3152)
10 (3244)
23 (3376)
52 (3516)
28 (3528)
3 (3656)
56 (3776)
1 (3916)
93 (3968)
110 (4040)
2 (4208)
76 (4384)
67 (4464)
53 (4608)
24 (4748)
63 (4936)
59 (5176)
39 (5612)
36 (6812)
90 (7488)
34 (7914)
86 (7924)
85 (8124)
Frequent 2-itemsets:
itemset (occurrence)
116 36 (2956)
116 90 (3104)
116 34 (3130)
116 86 (3148)
116 85 (3148)
6 90 (3020)
6 34 (3098)
6 86 (3102)
6 85 (3152)
10 36 (3208)
10 90 (3052)
10 34 (3226)
10 86 (3236)
10 85 (3244)
23 93 (3184)
23 63 (3040)
23 59 (3232)
23 39 (3016)
23 36 (3272)
23 90 (3080)
23 34 (3376)
23 86 (3376)
23 85 (3376)
52 36 (3068)
52 90 (2880)
52 34 (3306)
52 86 (3316)
52 85 (3516)
28 2 (3408)
28 63 (2872)
28 59 (2920)
28 39 (3288)
28 90 (2928)
28 34 (3336)
28 86 (3328)
28 85 (3528)
3 36 (3016)
3 90 (3464)
3 34 (3602)
3 86 (3608)
3 85 (3656)
56 39 (3432)
56 36 (3528)
56 90 (3656)
56 34 (3776)
56 86 (3776)
56 85 (3776)
1 110 (2848)
1 24 (3292)
1 36 (3804)
1 90 (3808)
1 34 (3898)
1 86 (3908)
1 85 (3916)
93 2 (3152)
93 63 (3472)
93 59 (3664)
93 39 (3320)
93 36 (3480)
93 90 (3560)
93 34 (3776)
93 86 (3776)
93 85 (3968)
110 36 (3848)
110 90 (3952)
110 34 (3944)
110 86 (3944)
110 85 (4040)
2 63 (3400)
2 59 (3640)
2 39 (3920)
2 36 (3008)
2 90 (3680)
2 34 (4016)
2 86 (4016)
2 85 (4208)
76 67 (3520)
76 63 (3040)
76 59 (3280)
76 36 (3128)
76 90 (3896)
76 34 (4384)
76 86 (4384)
76 85 (4384)
67 63 (3064)
67 59 (3304)
67 36 (3160)
67 90 (3976)
67 34 (4464)
67 86 (4464)
67 85 (4464)
53 63 (3216)
53 59 (3216)
53 36 (3744)
53 90 (4608)
53 34 (4608)
53 86 (4608)
53 85 (4608)
24 36 (3540)
24 90 (4408)
24 34 (4538)
24 86 (4548)
24 85 (4748)
63 59 (4156)
63 39 (3400)
63 36 (4184)
63 90 (4496)
63 34 (4744)
63 86 (4744)
63 85 (4936)
59 39 (3592)
59 36 (4424)
59 90 (4736)
59 34 (4984)
59 86 (4984)
59 85 (5176)
39 36 (4556)
39 90 (4976)
39 34 (5402)
39 86 (5420)
39 85 (5612)
36 90 (6464)
36 34 (6602)
36 86 (6620)
36 85 (6812)
90 34 (7296)
90 86 (7288)
90 85 (7488)
34 86 (7906)
34 85 (7914)
86 85 (7924)
Frequent 3-itemsets:
itemset (occurrence)
116 36 90 (2912)
116 36 34 (2938)
116 36 86 (2956)
116 36 85 (2956)
116 90 34 (3104)
116 90 86 (3104)
116 90 85 (3104)
116 34 86 (3130)
116 34 85 (3130)
116 86 85 (3148)
6 90 34 (2972)
6 90 86 (2970)
6 90 85 (3020)
6 34 86 (3096)
6 34 85 (3098)
6 86 85 (3102)
10 36 90 (3016)
10 36 34 (3190)
10 36 86 (3208)
10 36 85 (3208)
10 90 34 (3052)
10 90 86 (3044)
10 90 85 (3052)
10 34 86 (3218)
10 34 85 (3226)
10 86 85 (3236)
23 93 63 (2848)
23 93 59 (3040)
23 93 36 (3080)
23 93 90 (3080)
23 93 34 (3184)
23 93 86 (3184)
23 93 85 (3184)
23 63 59 (2968)
23 63 36 (2936)
23 63 34 (3040)
23 63 86 (3040)
23 63 85 (3040)
23 59 39 (2872)
23 59 36 (3128)
23 59 90 (2936)
23 59 34 (3232)
23 59 86 (3232)
23 59 85 (3232)
23 39 36 (3016)
23 39 34 (3016)
23 39 86 (3016)
23 39 85 (3016)
23 36 90 (2976)
23 36 34 (3272)
23 36 86 (3272)
23 36 85 (3272)
23 90 34 (3080)
23 90 86 (3080)
23 90 85 (3080)
23 34 86 (3376)
23 34 85 (3376)
23 86 85 (3376)
52 36 34 (2858)
52 36 86 (2876)
52 36 85 (3068)
52 90 85 (2880)
